cat,val1
30.01.2021+00:0015:00,0.00
30.01.2021+00:0016:00,8137.50
30.01.2021+00:0017:00,13113.00
30.01.2021+00:0018:00,14260.00
30.01.2021+00:0019:00,11950.50
30.01.2021+00:0020:00,0.00
30.01.2021+00:0021:00,0.00
30.01.2021+00:0022:00,0.00
30.01.2021+00:0023:00,0.00
31.01.2021+00:0000:00,0.00
31.01.2021+00:0001:00,0.00
31.01.2021+00:0002:00,0.00
31.01.2021+00:0003:00,0.00
31.01.2021+00:0004:00,0.00
31.01.2021+00:0005:00,0.00
31.01.2021+00:0006:00,0.00
31.01.2021+00:0007:00,0.00
31.01.2021+00:0008:00,0.00
31.01.2021+00:0009:00,0.00
31.01.2021+00:0010:00,0.00
31.01.2021+00:0011:00,0.00
31.01.2021+00:0012:00,0.00
31.01.2021+00:0013:00,0.00
31.01.2021+00:0014:00,0.00
31.01.2021+00:0015:00,0.00
31.01.2021+00:0016:00,0.00
31.01.2021+00:0017:00,0.00
31.01.2021+00:0018:00,0.00
31.01.2021+00:0019:00,0.00
31.01.2021+00:0020:00,0.00
31.01.2021+00:0021:00,0.00
31.01.2021+00:0022:00,0.00
31.01.2021+00:0023:00,0.00
01.02.2021+00:0000:00,0.00
01.02.2021+00:0001:00,0.00
01.02.2021+00:0002:00,0.00
01.02.2021+00:0003:00,0.00
01.02.2021+00:0004:00,0.00
01.02.2021+00:0005:00,15236.50
01.02.2021+00:0006:00,8587.00
01.02.2021+00:0007:00,98797.00
01.02.2021+00:0008:00,0.00
01.02.2021+00:0009:00,0.00
01.02.2021+00:0010:00,0.00
01.02.2021+00:0011:00,0.00
01.02.2021+00:0012:00,0.00
01.02.2021+00:0013:00,0.00
01.02.2021+00:0014:00,0.00
01.02.2021+00:0015:00,0.00
01.02.2021+00:0016:00,0.00
01.02.2021+00:0017:00,0.00
01.02.2021+00:0018:00,0.00
01.02.2021+00:0019:00,0.00
01.02.2021+00:0020:00,0.00
01.02.2021+00:0021:00,0.00
01.02.2021+00:0022:00,0.00
01.02.2021+00:0023:00,0.00
02.02.2021+00:0000:00,0.00
02.02.2021+00:0001:00,0.00
02.02.2021+00:0002:00,0.00
02.02.2021+00:0003:00,0.00
02.02.2021+00:0004:00,0.00
02.02.2021+00:0005:00,13299.00
02.02.2021+00:0006:00,3844.00
02.02.2021+00:0007:00,0.00
02.02.2021+00:0008:00,0.00
02.02.2021+00:0009:00,0.00
02.02.2021+00:0010:00,0.00
02.02.2021+00:0011:00,0.00
02.02.2021+00:0012:00,0.00
02.02.2021+00:0013:00,0.00
02.02.2021+00:0014:00,0.00
